session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected,anomaly_score,anomaly,status,risk_score,severity
SID_00001,599,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0,1,0.08509616759189137,1,Normal,18.03,Low
SID_00002,472,TCP,3,1557.9964611204384,DES,0.3015689675960893,0,Firefox,0,0,0.05360648803043205,1,Normal,28.1,Medium
SID_00003,629,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0,1,0.038980920110972705,1,Normal,32.77,Medium
SID_00004,804,UDP,4,601.2488351708328,DES,0.1232671757524846,0,Unknown,0,1,0.04070335366058009,1,Normal,32.22,Medium
SID_00005,453,TCP,5,532.5408884201419,AES,0.0548738567431703,1,Firefox,0,0,0.09985800905321357,1,Normal,13.31,Low
SID_00006,453,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1,0,0.0294125275196343,1,Normal,35.83,Medium
SID_00007,815,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0,1,0.09075025752597188,1,Normal,16.23,Low
SID_00008,653,TCP,3,12.5999060098958,DES,0.0977193658576949,3,Chrome,1,1,-0.06604110760410586,-1,Anomaly,66.35,High
SID_00009,406,TCP,2,542.5588952208974,Unknown,0.2945796876500889,0,Chrome,1,0,-0.018674020364078947,-1,Anomaly,51.21,High
SID_00010,608,UDP,6,531.9441066211396,Unknown,0.4241165641663546,1,Chrome,0,0,0.11403509911682952,1,Normal,8.78,Low
SID_00011,407,UDP,6,580.7219253670751,DES,0.1228937389064628,3,Firefox,0,1,0.06278484880137397,1,Normal,25.16,Medium
SID_00012,406,UDP,9,191.0528369326706,DES,0.3397112713433893,1,Edge,0,1,0.06864890817515573,1,Normal,23.29,Low
SID_00013,548,TCP,2,186.1476383415076,Unknown,0.4068986326067099,2,Safari,1,0,0.005034728707528857,1,Normal,43.63,Medium
SID_00014,117,TCP,4,833.4889649491395,DES,0.4732919047923998,2,Unknown,0,1,0.06804777039418813,1,Normal,23.48,Low
SID_00015,155,TCP,3,77.84995157439054,Unknown,0.3524755745227921,3,Chrome,0,1,0.047113310517887697,1,Normal,30.17,Medium
SID_00016,387,ICMP,6,292.1361960073892,DES,0.2549124511362793,3,Chrome,0,1,0.0803452242578207,1,Normal,19.55,Low
SID_00017,297,TCP,8,1421.414371761036,AES,0.345367552273892,3,Firefox,0,1,0.011513055055531352,1,Normal,41.56,Medium
SID_00018,562,UDP,1,87.64100168835026,Unknown,0.1367291897579692,2,Firefox,0,0,0.07955699622166856,1,Normal,19.8,Low
SID_00019,318,TCP,5,504.98866997657433,AES,0.3942314568896387,1,Unknown,0,1,0.1266983157735483,1,Normal,4.73,Low
SID_00020,217,ICMP,2,883.6175678484254,DES,0.3101131570512104,0,Chrome,0,0,0.028968860644436767,1,Normal,35.97,Medium
SID_00021,793,TCP,3,122.1894142089281,AES,0.3693246493280864,2,Firefox,0,0,0.08735431396321525,1,Normal,17.31,Low
SID_00022,454,TCP,1,299.71154797427783,Unknown,0.3738745916057353,1,Chrome,0,0,0.09937705994002755,1,Normal,13.47,Low
SID_00023,513,TCP,3,654.5261426459776,AES,0.4970295435549451,1,Firefox,0,0,0.10899862977184738,1,Normal,10.39,Low
SID_00024,215,TCP,8,317.0788581057768,AES,0.461950842242767,2,Chrome,0,1,0.04392664400754315,1,Normal,31.19,Medium
SID_00025,391,TCP,5,93.17112499822254,AES,0.536245189457405,2,Firefox,0,0,0.09648246773027114,1,Normal,14.39,Low
SID_00026,522,TCP,4,211.59584253834697,AES,0.1078985576055601,3,Firefox,0,1,0.06515110133790203,1,Normal,24.41,Low
SID_00027,269,TCP,9,92.70169297371484,Unknown,0.5068194256848887,0,Chrome,0,1,-0.016022831734463394,-1,Anomaly,50.36,High
SID_00028,575,TCP,3,3286.221727767748,DES,0.4204711850467863,0,Chrome,0,0,-0.020362553764323832,-1,Anomaly,51.74,High
SID_00029,379,UDP,2,214.98212232301017,AES,0.7863154442710675,2,Chrome,0,1,0.0234636855509881,1,Normal,37.73,Medium
SID_00030,441,TCP,7,604.9615522886485,AES,0.3360318477936075,0,Firefox,0,1,0.07423914884656657,1,Normal,21.5,Low
SID_00031,379,TCP,1,447.62330730772806,DES,0.0993898185618982,0,Chrome,0,0,0.03385160230410589,1,Normal,34.41,Medium
SID_00032,870,UDP,2,674.2716307687525,DES,0.2720868405623606,1,Chrome,0,1,0.05707027409027515,1,Normal,26.99,Medium
SID_00033,497,TCP,1,551.4693389958693,Unknown,0.0351392525704552,1,Chrome,1,0,-0.04196309250962338,-1,Anomaly,58.65,High
SID_00034,288,ICMP,2,1039.10118603804,AES,0.110269438624984,3,Chrome,0,1,0.04668056659290459,1,Normal,30.31,Medium
SID_00035,664,TCP,6,1650.942099269792,Unknown,0.3915442086550267,2,Chrome,1,0,-0.015973303745668188,-1,Anomaly,50.34,High
SID_00036,255,TCP,2,268.71323796747225,AES,0.5173361768348047,1,Chrome,1,0,-0.029532820940464277,-1,Anomaly,54.68,High
SID_00037,541,TCP,5,162.2873080817919,Unknown,0.1379758234123113,2,Chrome,0,0,0.10355753757078012,1,Normal,12.13,Low
SID_00038,108,TCP,7,3325.3086894656926,AES,0.0795093219361312,2,Firefox,0,1,-0.08204765535098313,-1,Anomaly,71.46,High
SID_00039,234,TCP,5,1608.365096858205,DES,0.6459042598252172,4,Firefox,0,1,-0.072851951661564,-1,Anomaly,68.52,High
SID_00040,539,TCP,4,361.9425945829811,DES,0.3087899599206534,0,Chrome,0,0,0.09127790810794378,1,Normal,16.06,Low
SID_00041,647,TCP,2,1801.41325899014,Unknown,0.2991840394359722,1,Chrome,0,0,0.07967310553501794,1,Normal,19.77,Low
SID_00042,534,TCP,4,888.2555882449734,AES,0.0367521363575246,3,Chrome,0,1,0.03390516127163945,1,Normal,34.4,Medium
SID_00043,476,TCP,4,460.1784563437431,DES,0.3974194615917665,2,Edge,0,0,0.13591398915888575,1,Normal,1.79,Low
SID_00044,439,TCP,5,1653.5169443242044,Unknown,0.2453131148697448,2,Chrome,0,0,0.10626145952314381,1,Normal,11.27,Low
SID_00045,204,TCP,4,899.8403029798167,DES,0.3373211395417786,1,Chrome,0,0,0.09978768839131241,1,Normal,13.34,Low
SID_00046,356,TCP,2,1401.0372662699012,DES,0.6729768279913647,1,Chrome,0,1,0.03476778746238862,1,Normal,34.12,Medium
SID_00047,407,TCP,7,432.6976830475844,DES,0.081769711383674,3,Edge,1,1,-0.07675529106932577,-1,Anomaly,69.77,High
SID_00048,711,TCP,5,1282.4285713839413,AES,0.207445483534184,2,Edge,0,1,0.09976021754394937,1,Normal,13.34,Low
SID_00049,568,TCP,6,365.73555486698257,AES,0.5343683322456065,2,Unknown,0,1,0.077659638690118,1,Normal,20.41,Low
SID_00050,147,TCP,1,1062.659149730583,AES,0.2633726317268964,1,Edge,0,0,0.04060976348611356,1,Normal,32.25,Medium
SID_00051,564,TCP,2,457.4952008808089,Unknown,0.219704731816743,1,Edge,1,0,0.023205556177102404,1,Normal,37.82,Medium
SID_00052,422,TCP,5,415.6167950841102,AES,0.4663241681421678,1,Chrome,0,0,0.12252382192404687,1,Normal,6.07,Low
SID_00053,364,TCP,5,1274.1942392067006,AES,0.8708336888298047,2,Firefox,0,1,-0.015086693164879095,-1,Anomaly,50.06,High
