timestamp,source_ip,destination_ip,flow_duration,packet_count,byte_count,port
10:01:00,192.168.1.10,10.0.0.5,120,150,12000,80
10:01:05,192.168.1.10,10.0.0.5,130,160,13000,80
10:01:10,192.168.1.10,10.0.0.5,110,140,11000,80
10:01:15,192.168.1.10,10.0.0.5,125,155,12500,80
10:01:20,192.168.1.10,10.0.0.5,115,145,11500,80
10:02:00,192.168.1.20,10.0.0.8,20,900,85000,22
10:02:05,192.168.1.20,10.0.0.8,15,1200,150000,22
10:02:10,192.168.1.20,10.0.0.8,10,1500,200000,22
10:02:15,192.168.1.20,10.0.0.8,8,1800,250000,22
10:02:20,192.168.1.20,10.0.0.8,5,2200,320000,22
10:03:00,192.168.1.30,10.0.0.9,100,130,10000,443
10:03:05,192.168.1.30,10.0.0.9,105,135,10500,443
